"ID","File","GPSLongitude","GPSLatitude","Type","City","Place","Quality","Design"
"206","Granat20180306",NA,NA,"Granat","Du","Green",-2,"B"
"207","Pf20180307",NA,NA,"Pf","Du","Pave",-2,"B"
"208","Multi20180307",NA,NA,"Multi","Du","Green",-2,"A"
"209","Zit20180308",NA,NA,"Zit","Du","Pave",2,"B"
"210","Pf20180309",NA,NA,"Pf","Du","Green",2,"A"
"211","Pf20180309",NA,NA,"Pf","Du","Pave",-2,"B"
"212","Wald20180310",NA,NA,"Wald","Du","Street",-2,"A"
"213","Multi20180311",NA,NA,"Multi","Du","House",2,"B"
"214","Pf20180312",NA,NA,"Pf","Du","Pave",-2,"A"
"215","Kizi20180312",NA,NA,"Kizi","Du","Street",-2,"X"
"216","Kiba20180312",NA,NA,"Kiba","Du","Pave",2,"B"
"217","Ora20180311",NA,NA,"Ora","Du","Dirt",-2,"A"
"218","AOZ20180315",NA,NA,"AOZ","Du","Dirt",2,"B"
"219","Multi20180306",NA,NA,"Multi","Du","Pave",-2,"A"
"220","Kiba20180316",NA,NA,"Kiba","Du","Green",2,"A"
"221","Granat20180318",NA,NA,"Granat","Du","Pave",1,"B"
"222","Multi20180320",NA,NA,"Multi","Du","House",2,"B"
"223","Zit20180321",NA,NA,"Zit","Du","Street",-2,"B"
"224","Kiba20180322",NA,NA,"Kiba","Du","Green",-2,"A"
"225","Ora20180322",NA,NA,"Ora","Du","Green",-2,"A"
"226","Multi20180322",NA,NA,"Multi","Du","Pave",-2,"A"
"227","Pf20180311",NA,NA,"Pf","Du","Street",-2,"B"
"228","AOZ20180326",NA,NA,"AOZ","Du","House",2,"B"
"229","Multi20180328",NA,NA,"Multi","Du","Pave",-2,"B"
"230","Pf20180329",NA,NA,"Pf","Du","Street",1,"B"
"231","Kizi20180401",NA,NA,"Kizi","Du","Green",2,"B"
"232","Pf20180402",NA,NA,"Pf","Du","Pave",-2,"A"
"233","Ora20180405",NA,NA,"Ora","Du","Street",-1,"A"
"234","Pf20180405",NA,NA,"Pf","Du","Pave",2,"B"
"235","Zit20180408",NA,NA,"Zit","Du","Pave",-2,"0"
"236","Him20180409",NA,NA,"Him","Du","Pave",-2,"A"
"237","Multi20180410",NA,NA,"Multi","Du","Street",2,"A"
"238","Kiba20180411",NA,NA,"Kiba","Du","Street",2,"A"
"239","Multi20180412",NA,NA,"Multi","Du","Green",2,"B"
"240","Multi20180412",NA,NA,"Multi","Du","Green",-2,"A"
"241","Pf20180415",NA,NA,"Pf","Du","Pave",2,"B"
"242","Wald20180416",NA,NA,"Wald","Du","Green",-2,"B"
"243","Kizi20180416",NA,NA,"Kizi","Du","Green",1,"A"
"244","Mango20180417",NA,NA,"Mango","Du","Green",2,"A"
"245","Kiba20180418",NA,NA,"Kiba","Du","Street",-2,"B"
"246","Ora20180418",NA,NA,"Ora","Du","Green",-1,"B"
"247","Pf20180419",NA,NA,"Pf","Du","Dirt",1,"B"
"248","Pf20180419",NA,NA,"Pf","Du","Pave",-1,"B"
"249","Multi20180420",NA,NA,"Multi","Du","Pave",-2,"B"
"250","Ora20180421",NA,NA,"Ora","Du","Pave",2,"A"
"251","Pf20180422",NA,NA,"Pf","Du","Pave",-1,"A"
"252","Ora20180421",NA,NA,"Ora","Du","Pave",-1,"B"
"253","Pf20180421",NA,NA,"Pf","Du","House",2,"B"
"254","Him20180425",NA,NA,"Him","Du","House",1,"A"
"255","Wasser20180425",NA,NA,"Wasser","Du","Street",-2,"B"
"256","Ora20180426",NA,NA,"Ora","Du","Green",1,"B"
"257","Kizi20180427",NA,NA,"Kizi","Du","Green",2,"B"
"258","Multi20180427",NA,NA,"Multi","Du","House",2,"A"
"259","Multi20180430",NA,NA,"Multi","Du","Pave",-2,"A"
"260","Pf20180430",NA,NA,"Pf","Du","Pave",-1,"B"
"261","Him20180502",NA,NA,"Him","Du","Green",1,"A"
"262","Wald20180502",NA,NA,"Wald","Du","Pave",2,"A"
"263","Multi20180502",NA,NA,"Multi","Du","Pave",2,"B"
"264","Kiba20180501",NA,NA,"Kiba","Du","Dirt",1,"B"
"265","Ora20180501",NA,NA,"Ora","Du","Utilitybox",2,"A"
"266","Wald20180501",NA,NA,"Wald","Du","Utilitybox",2,"A"
